comments,N,lang,en-en,comments
I enjoyed my stay in Segire's wonderful little house. A true gem in the middle of busy Paris.,1,english,en-en,I enjoyed my stay in Segire's wonderful little house. A true gem in the middle of busy Paris.
Maxime was very friendly and helpful - great host!,1,english,en-en,Maxime was very friendly and helpful - great host!
Emmanuel was great. Very informative and helpful. Great host. Can't wait to visit again.,1,english,en-en,Emmanuel was great. Very informative and helpful. Great host. Can't wait to visit again.
"It is okay, just very noisy.",1,english,en-en,"It is okay, just very noisy."
The host was very kind. Pleasant stay.,1,english,en-en,The host was very kind. Pleasant stay.
Marie is very helpfull & kind!,1,english,en-en,Marie is very helpfull & kind!
Franck was very helpful. Good location.,1,english,en-en,Franck was very helpful. Good location.
Didi was very helpful and nice.,1,english,en-en,Didi was very helpful and nice.
Lovely view,1,english,en-en,Lovely view
He is very kind,1,english,en-en,He is very kind
Wonderful host,3,english,en-en,Wonderful host
"Wonderful home in a wonderful neighborhood.
Everything was perfect.",1,english,en-en,"Wonderful home in a wonderful neighborhood.
Everything was perfect."
it's my home.,1,english,en-en,it's my home.
Laurent was a very wonderful host. Highly recommend!,1,english,en-en,Laurent was a very wonderful host. Highly recommend!
Maguy was a wonderful host and we had a lovely stay!,1,english,en-en,Maguy was a wonderful host and we had a lovely stay!
Maguy was very friendly and helpful. Her house is really well kept and she ensures you feel like home!,1,english,en-en,Maguy was very friendly and helpful. Her house is really well kept and she ensures you feel like home!
"Sophie was very nice  and  a good host to us :)
We had a nice weekend-trip in Paris!",1,english,en-en,"Sophie was very nice  and  a good host to us :)
We had a nice weekend-trip in Paris!"
Marjolaine was very hospitable and helpful.,1,english,en-en,Marjolaine was very hospitable and helpful.
Jean-Baptiste is a great host. He was really nice and helpful. We would like to stay at JB again,1,english,en-en,Jean-Baptiste is a great host. He was really nice and helpful. We would like to stay at JB again
awesome,3,english,en-en,awesome
very friendly host.,1,english,en-en,very friendly host.
Matthieu was lovely- very sociable and helpful :),1,english,en-en,Matthieu was lovely- very sociable and helpful :)
Very Good our stay was very pleasant,1,english,en-en,Very Good our stay was very pleasant
"Elisa is a great host, very friendly and welcoming. She made me feel like home. 
",1,english,en-en,"Elisa is a great host, very friendly and welcoming. She made me feel like home. 
"
Samuel was very welcoming. All was organised and clean. It made my stay in Paris very easy and enjoyable.,1,english,en-en,Samuel was very welcoming. All was organised and clean. It made my stay in Paris very easy and enjoyable.
Enjoyed our stay . Rafet was extremely helpful,1,english,en-en,Enjoyed our stay . Rafet was extremely helpful
is was a nice house,1,english,en-en,is was a nice house
"We enjoyed staying here, it was very close to various metro stops and good value.",1,english,en-en,"We enjoyed staying here, it was very close to various metro stops and good value."
very very good,1,english,en-en,very very good
Deborah is a very great host,1,english,en-en,Deborah is a very great host
City break au top,1,english,en-en,City break au top
very good!!,2,english,en-en,very good!!
very good trip~~,1,english,en-en,very good trip~~
"We enjoyed our stay! Cute neighborhood, easy to get around :)",1,english,en-en,"We enjoyed our stay! Cute neighborhood, easy to get around :)"
Sandra was very nice and helpfull.,1,english,en-en,Sandra was very nice and helpfull.
what a wonderful 'nest'.,1,english,en-en,what a wonderful 'nest'.
Sabrina was very friendly and helpfull!,1,english,en-en,Sabrina was very friendly and helpfull!
Soha was a wonderful host. She knew a lot about Paris and was very accommodating.,1,english,en-en,Soha was a wonderful host. She knew a lot about Paris and was very accommodating.
Maguy was a wonderful host.,1,english,en-en,Maguy was a wonderful host.
Maguy was very helpful during my first visit to Paris.,1,english,en-en,Maguy was very helpful during my first visit to Paris.
very good,43,english,en-en,very good
Awesome host!,2,english,en-en,Awesome host!
Amazing stay as always. Adel is very helpful.,1,english,en-en,Amazing stay as always. Adel is very helpful.
old style house...,1,english,en-en,old style house...
Didn't stay long but a great value.,1,english,en-en,Didn't stay long but a great value.
We had a wonderful stay.,1,english,en-en,We had a wonderful stay.
Teddy was a gentleman and very accommodating. Room was clean and near major metro.,1,english,en-en,Teddy was a gentleman and very accommodating. Room was clean and near major metro.
very clean house in quite area,1,english,en-en,very clean house in quite area
Very helpful,2,english,en-en,Very helpful
Caroline is a good landlord,1,english,en-en,Caroline is a good landlord
very nice very good,1,english,en-en,very nice very good
It was very good!,1,english,en-en,It was very good!
"Good,the room is very warm.",1,english,en-en,"Good,the room is very warm."
Exelente everything was good 5 stars,1,english,en-en,Exelente everything was good 5 stars
very nice place.,3,english,en-en,very nice place.
Very good stay. Johnatan was very helpful.,1,english,en-en,Very good stay. Johnatan was very helpful.
Linda was very responsive. Good location if you like to walk.,1,english,en-en,Linda was very responsive. Good location if you like to walk.
The neighborhood was very nice.,2,english,en-en,The neighborhood was very nice.
Everything was amazing! Karine is wonderful!,1,english,en-en,Everything was amazing! Karine is wonderful!
Wonderful house,1,english,en-en,Wonderful house
It was great! Lionel is a very trusty host!,1,english,en-en,It was great! Lionel is a very trusty host!
It was very nice flat,1,english,en-en,It was very nice flat
very nice!,7,english,en-en,very nice!
Pauline is a good host! She is very nice:),1,english,en-en,Pauline is a good host! She is very nice:)
Yes and it was wonderful.,1,english,en-en,Yes and it was wonderful.
Thank you Maguelone. We liked staying in your apartment.,1,english,en-en,Thank you Maguelone. We liked staying in your apartment.
"very central , Christopher was so helpful ",1,english,en-en,"very central , Christopher was so helpful "
An awesome listing and an awesome host. Isabelle was very attentive and very kind. I felt at home!,1,english,en-en,An awesome listing and an awesome host. Isabelle was very attentive and very kind. I felt at home!
Dominique is a good host. Very responsive. We enjoyed our stay at Dominique’s.,1,english,en-en,Dominique is a good host. Very responsive. We enjoyed our stay at Dominique’s.
"Great value, very kind host. ",1,english,en-en,"Great value, very kind host. "
Great flat in a great neighborhood! Me and my friends really enjoyed our stay here. Charles was very helpful.,1,english,en-en,Great flat in a great neighborhood! Me and my friends really enjoyed our stay here. Charles was very helpful.
"Hey Lisa, it was beautiful week at your home. 

Thank you

Best, Robert",1,english,en-en,"Hey Lisa, it was beautiful week at your home. 

Thank you

Best, Robert"
Wonderful as always.,1,english,en-en,Wonderful as always.
The place is wonderful! Manuel was very friendly!,1,english,en-en,The place is wonderful! Manuel was very friendly!
"Great neighborhood - very safe. 
",1,english,en-en,"Great neighborhood - very safe. 
"
Lia is very nice.,1,english,en-en,Lia is very nice.
This plac was wonderful.,1,english,en-en,This plac was wonderful.
Everything was wonderful!,4,english,en-en,Everything was wonderful!
I had a great time. Everything was wonderful,1,english,en-en,I had a great time. Everything was wonderful
Habib was wonderful. Very helpful and kind. Great flat. Would love to visit again.,1,english,en-en,Habib was wonderful. Very helpful and kind. Great flat. Would love to visit again.
Beautiful flat in a charming neighborhood. Adrien  was a great host. We very much enjoyed our stay.,1,english,en-en,Beautiful flat in a charming neighborhood. Adrien  was a great host. We very much enjoyed our stay.
very good!,12,english,en-en,very good!
"It was wonderful, very friendly. Great experince.
Thank you a lot and see you next time.",1,english,en-en,"It was wonderful, very friendly. Great experince.
Thank you a lot and see you next time."
Our stay was very comfortable.,1,english,en-en,Our stay was very comfortable.
"Everything went really well, Daniel was really helpful.",1,english,en-en,"Everything went really well, Daniel was really helpful."
"Baptiste, was an excellent host, very kind and helpful.",1,english,en-en,"Baptiste, was an excellent host, very kind and helpful."
"Location was good, a little noisy at night. Good value.",1,english,en-en,"Location was good, a little noisy at night. Good value."
very good deal,1,english,en-en,very good deal
Loved it! Host was very helpful!,1,english,en-en,Loved it! Host was very helpful!
Very very good house,1,english,en-en,Very very good house
Very dirty. Owner not very nice.,1,english,en-en,Very dirty. Owner not very nice.
"Mat was a great host, very helpful and a nice person. We enjoyed our short stay.",1,english,en-en,"Mat was a great host, very helpful and a nice person. We enjoyed our short stay."
Great value stay in Paris. Matt was a very helpful host.,1,english,en-en,Great value stay in Paris. Matt was a very helpful host.
our host was very helpful,1,english,en-en,our host was very helpful
everything was very good. I advise,1,english,en-en,everything was very good. I advise
"Thank you very much, your home is beautiful!",1,english,en-en,"Thank you very much, your home is beautiful!"
awesome - very helpful!,1,english,en-en,awesome - very helpful!
verygood !,1,english,en-en,verygood !
It was very good,2,english,en-en,It was very good
Charlotte was very accommodating.,1,english,en-en,Charlotte was very accommodating.
Our host was very nice and helpful when we arrived and met us when we left too.,1,english,en-en,Our host was very nice and helpful when we arrived and met us when we left too.
Agnes is a very good host,1,english,en-en,Agnes is a very good host
"Host was very kind. Room is spacious, clean bathroom, great terrace. ",1,english,en-en,"Host was very kind. Room is spacious, clean bathroom, great terrace. "
This is the perfect hostel. He was very kind and made me feel like home. Thank you again.,1,english,en-en,This is the perfect hostel. He was very kind and made me feel like home. Thank you again.
We enjoyed out stay and Annabelle was very helpful,1,english,en-en,We enjoyed out stay and Annabelle was very helpful
"Luc was a wonderful host, friendly and very He was always very helpful.
לוקס בחור מאוד נחמד , דירה ממוקמת באזור מאוד שוקק חיים ומומלץ .
לוקס נתן לו המון המלצות וטיפים .
אנחנו עוד נחזור לשם.
ממליץ בחום.",1,english,en-en,"Luc was a wonderful host, friendly and very He was always very helpful.
לוקס בחור מאוד נחמד , דירה ממוקמת באזור מאוד שוקק חיים ומומלץ .
לוקס נתן לו המון המלצות וטיפים .
אנחנו עוד נחזור לשם.
ממליץ בחום."
We had a nice time in your home. Thank you very much.,1,english,en-en,We had a nice time in your home. Thank you very much.
Luc was very friendly. Perfect neighbourhood.,1,english,en-en,Luc was very friendly. Perfect neighbourhood.
Paris was wonderful,1,english,en-en,Paris was wonderful
We love staying at Elo’s place. Everything was so wonderful he was very helpful. His place is located in a very wonderful area everything is so close by. Eiffel Tower is about 20min walking distance. So much to do see and do around it. I totally recommend Elo’s place.,1,english,en-en,We love staying at Elo’s place. Everything was so wonderful he was very helpful. His place is located in a very wonderful area everything is so close by. Eiffel Tower is about 20min walking distance. So much to do see and do around it. I totally recommend Elo’s place.
Samia is very kind lady.give me great help.,1,english,en-en,Samia is very kind lady.give me great help.
"Rooftop flat house was nice.
Also, Josephine is very kind person.
Thanks!",1,english,en-en,"Rooftop flat house was nice.
Also, Josephine is very kind person.
Thanks!"
Wonderful apartment. Host was very accommodating.,1,english,en-en,Wonderful apartment. Host was very accommodating.
Sylvie was very helpful and friendly,1,english,en-en,Sylvie was very helpful and friendly
Great host. Very helpful.,1,english,en-en,Great host. Very helpful.
Malik was very helpful and accommodating during our time in Paros. He has a great place.,1,english,en-en,Malik was very helpful and accommodating during our time in Paros. He has a great place.
Home away from home,2,english,en-en,Home away from home
"It looks like """"Real Parisian's house"""" :)
Host was so kind!",1,english,en-en,"It looks like """"Real Parisian's house"""" :)
Host was so kind!"
Welly was a very attentive host.,1,english,en-en,Welly was a very attentive host.
very welcome,1,english,en-en,very welcome
We are very happy,1,english,en-en,We are very happy
Somaya was wonderful. Very accommodating on our check-in.,1,english,en-en,Somaya was wonderful. Very accommodating on our check-in.
thank you very much.,9,english,en-en,thank you very much.
Home away from home.,1,english,en-en,Home away from home.
My Paris home away from home.,1,english,en-en,My Paris home away from home.
Wonderful place. 10/10 would stay again.,1,english,en-en,Wonderful place. 10/10 would stay again.
Sophie is very kind. And her dogs are so friendly. You can enjoy your stay with them.,1,english,en-en,Sophie is very kind. And her dogs are so friendly. You can enjoy your stay with them.
Beverly was very friendly and helpful.,1,english,en-en,Beverly was very friendly and helpful.
"Sofie was great host.I feel myself like i'm living at friend's home.Location great,home very clean.Thanks Sofie)",1,english,en-en,"Sofie was great host.I feel myself like i'm living at friend's home.Location great,home very clean.Thanks Sofie)"
My stay ad sophie's house has been very pleasant. She is very kind and helpful,1,english,en-en,My stay ad sophie's house has been very pleasant. She is very kind and helpful
Laurance was good and very helpful,1,english,en-en,Laurance was good and very helpful
2 nights in carole's place. nice place. nice host. very helpfull. tq carole.,1,english,en-en,2 nights in carole's place. nice place. nice host. very helpfull. tq carole.
Carole was very nice and helpful!,1,english,en-en,Carole was very nice and helpful!
All was wonderful,1,english,en-en,All was wonderful
"very good~~~~

",1,english,en-en,"very good~~~~

"
Philip was very kind and very obliging. He is a great host!,1,english,en-en,Philip was very kind and very obliging. He is a great host!
"Nice place, host was very welcoming.",1,english,en-en,"Nice place, host was very welcoming."
"Gustavo is a wonderful, kind and helpful host.",1,english,en-en,"Gustavo is a wonderful, kind and helpful host."
Wonderfull place. Bery good host.,1,english,en-en,Wonderfull place. Bery good host.
Wonderful home!,1,english,en-en,Wonderful home!
Emma was very easy to get a hold of.,1,english,en-en,Emma was very easy to get a hold of.
Francois was a very helpful and generous host .,1,english,en-en,Francois was a very helpful and generous host .
tony was very nice! I enjoy my trip in Paris!,1,english,en-en,tony was very nice! I enjoy my trip in Paris!
very,1,english,en-en,very
everything was wonderful,1,english,en-en,everything was wonderful
"We had a wonderful stay, Caroline was very helpful and a wonderful host. ",1,english,en-en,"We had a wonderful stay, Caroline was very helpful and a wonderful host. "
Good flat in very nice neighborhood,1,english,en-en,Good flat in very nice neighborhood
Aurelia is a very good person,1,english,en-en,Aurelia is a very good person
A room very very good,1,english,en-en,A room very very good
Room is Awesome!and Regis is kindness!!I want stay next time Paris too‼️,1,english,en-en,Room is Awesome!and Regis is kindness!!I want stay next time Paris too‼️
Very nice apartment. David was very helpful,1,english,en-en,Very nice apartment. David was very helpful
Very good house,2,english,en-en,Very good house
"Good host, very responsive.  ",1,english,en-en,"Good host, very responsive.  "
It was very nice,6,english,en-en,It was very nice
Rafik was very helpful,1,english,en-en,Rafik was very helpful
Carole was warm and kind and very helpful.,1,english,en-en,Carole was warm and kind and very helpful.
"He was very nice, friendly and helpful ",1,english,en-en,"He was very nice, friendly and helpful "
"Clean and cosy room, typical Parisian style. Damien was very kind and helpful. I recommend.",1,english,en-en,"Clean and cosy room, typical Parisian style. Damien was very kind and helpful. I recommend."
Cyrille was very helpful & kind. All answers & support were very given quickly.,1,english,en-en,Cyrille was very helpful & kind. All answers & support were very given quickly.
"it was so nice house
very near by Eifiel tour
kind host :)",1,english,en-en,"it was so nice house
very near by Eifiel tour
kind host :)"
"
Our host was was very most helpful and polite ",1,english,en-en,"
Our host was was very most helpful and polite "
Wonderful stay,5,english,en-en,Wonderful stay
David was very helpful,1,english,en-en,David was very helpful
"
See review below",1,english,en-en,"
See review below"
Yes it was wonderful.,1,english,en-en,Yes it was wonderful.
Great stay. Thank you Elodie,1,english,en-en,Great stay. Thank you Elodie
Amazing host. Elodie was very helpful and friendly. Thank you very much,1,english,en-en,Amazing host. Elodie was very helpful and friendly. Thank you very much
Chloe was very welcoming. Excellent bakeries nearby.,1,english,en-en,Chloe was very welcoming. Excellent bakeries nearby.
"The Flat is extraordinary...
You should see it!
Sylvia is a wonderful host!",1,english,en-en,"The Flat is extraordinary...
You should see it!
Sylvia is a wonderful host!"
very very good!!!!!!!!!!!!,1,english,en-en,very very good!!!!!!!!!!!!
it ws very good house,1,english,en-en,it ws very good house
Simon was great very helpful. Very close to shops.,1,english,en-en,Simon was great very helpful. Very close to shops.
Beautiful and big house near two metro line and a big park. Joel was a very kind host.,1,english,en-en,Beautiful and big house near two metro line and a big park. Joel was a very kind host.
I is very good,1,english,en-en,I is very good
"very nice apt., great view. ",1,english,en-en,"very nice apt., great view. "
"Very nice flat, very convenient.  Host was very helpful.",1,english,en-en,"Very nice flat, very convenient.  Host was very helpful."
everything was wonderful! Pierre is a great host ^^,1,english,en-en,everything was wonderful! Pierre is a great host ^^
Bernard was very helpful and outstanding host. We did not get to meet but he was always looking after us.,1,english,en-en,Bernard was very helpful and outstanding host. We did not get to meet but he was always looking after us.
"
A wonderful host.
",1,english,en-en,"
A wonderful host.
"
Stunning stunning apartment. Joel was an absolutely wonderful host.,1,english,en-en,Stunning stunning apartment. Joel was an absolutely wonderful host.
Daniel was very helpful,1,english,en-en,Daniel was very helpful
"It's a very good stay.
And Alexis is so kind.",1,english,en-en,"It's a very good stay.
And Alexis is so kind."
Alexis was very handsome.,1,english,en-en,Alexis was very handsome.
"Very good house :) 
Amazing view. 
Amazing host.",1,english,en-en,"Very good house :) 
Amazing view. 
Amazing host."
"Alain was very kind, flexible, and understanding.",1,english,en-en,"Alain was very kind, flexible, and understanding."
We enjoyed our stay very much.,1,english,en-en,We enjoyed our stay very much.
Everything was wonderful. I felt at home in Martin's house.,1,english,en-en,Everything was wonderful. I felt at home in Martin's house.
Guillemette was very welcoming. Her home was clean and comfortable.,1,english,en-en,Guillemette was very welcoming. Her home was clean and comfortable.
Host was very kind and accommodating!,1,english,en-en,Host was very kind and accommodating!
Pierre is a wonderful host. He was very helpful and accomodating. We felt right at home and had a wonderful stay. Highly recommended.,1,english,en-en,Pierre is a wonderful host. He was very helpful and accomodating. We felt right at home and had a wonderful stay. Highly recommended.
The flat was very nice.,1,english,en-en,The flat was very nice.
"Very welcoming, very helpful host",1,english,en-en,"Very welcoming, very helpful host"
Awesome home,1,english,en-en,Awesome home
Joelle is really nice person! she was very kindness with me. Flat on 5 floor so view is wonderfull. you can stay and enjoy visiting.,1,english,en-en,Joelle is really nice person! she was very kindness with me. Flat on 5 floor so view is wonderfull. you can stay and enjoy visiting.
She was very kind and welcoming.,1,english,en-en,She was very kind and welcoming.
Stéphane was wonderful and welcoming.,1,english,en-en,Stéphane was wonderful and welcoming.
Great location. Host was very helpful.,1,english,en-en,Great location. Host was very helpful.
"well located, very helpful host. ",1,english,en-en,"well located, very helpful host. "
very well :),1,english,en-en,very well :)
Great host. Had a wonderful stay.,1,english,en-en,Great host. Had a wonderful stay.
Othmane was very kind and generous. He helped make our stay very comfortable.,1,english,en-en,Othmane was very kind and generous. He helped make our stay very comfortable.
Host was very gracious & helpful.,1,english,en-en,Host was very gracious & helpful.
"Emily was warm, helpful, and very accommodating. Highly recommended.",1,english,en-en,"Emily was warm, helpful, and very accommodating. Highly recommended."
Kikko is very nice. It was warm welcome.,1,english,en-en,Kikko is very nice. It was warm welcome.
Sandrine was very helpful. The place was nice.,1,english,en-en,Sandrine was very helpful. The place was nice.
Wonderful host!,2,english,en-en,Wonderful host!
"It was wonderful place in paris
So, if you want travel around montmartre brice’s loft is right place
",1,english,en-en,"It was wonderful place in paris
So, if you want travel around montmartre brice’s loft is right place
"
Thank you Jerome all was perfekt.,1,english,en-en,Thank you Jerome all was perfekt.
Stay in a nice house was a wonderful trip in Paris.,1,english,en-en,Stay in a nice house was a wonderful trip in Paris.
Lovely flat in wonderful area. Quentin was a very helpful host too! Thanks,1,english,en-en,Lovely flat in wonderful area. Quentin was a very helpful host too! Thanks
awesome stay,1,english,en-en,awesome stay
"Valentine was very nice, helpful and made me feel at home.",1,english,en-en,"Valentine was very nice, helpful and made me feel at home."
"She is very friendly, enjoyed our stay there.",1,english,en-en,"She is very friendly, enjoyed our stay there."
Zakaria was a great host. He was very helpful and a nice guy.,1,english,en-en,Zakaria was a great host. He was very helpful and a nice guy.
Our group of 6 had a wonderful 2-night stay!,1,english,en-en,Our group of 6 had a wonderful 2-night stay!
"Quiet from street noise - very convenient- metro, a couple minute walk",1,english,en-en,"Quiet from street noise - very convenient- metro, a couple minute walk"
Flat very well located but very noisy neighboords every night :(,1,english,en-en,Flat very well located but very noisy neighboords every night :(
"Isabelle was an amazing host, showing me hospitality from day one. An enjoyable stay in Paris!",1,english,en-en,"Isabelle was an amazing host, showing me hospitality from day one. An enjoyable stay in Paris!"
The landlord is very nice.,1,english,en-en,The landlord is very nice.
very good.,3,english,en-en,very good.
Sabrina was a wonderful host. The room is beautiful.,1,english,en-en,Sabrina was a wonderful host. The room is beautiful.
The stay was ok Bit die Tour people a little vor to small,1,english,en-en,The stay was ok Bit die Tour people a little vor to small
Not very inspiring but was ok.,1,english,en-en,Not very inspiring but was ok.
"very kind, wonderful view, good location, safety, everything was good!",1,english,en-en,"very kind, wonderful view, good location, safety, everything was good!"
very nice stay at Maggie's place,1,english,en-en,very nice stay at Maggie's place
Great host... She is a wonderful host.,1,english,en-en,Great host... She is a wonderful host.
wonderful host. Fantastic place. Huge thank you Jay,1,english,en-en,wonderful host. Fantastic place. Huge thank you Jay
"Very nice stay, lovely flat in an amazing neighbourhood. Felix was very helpful. ",1,english,en-en,"Very nice stay, lovely flat in an amazing neighbourhood. Felix was very helpful. "
very nice  very  good,1,english,en-en,very nice  very  good
Elo made us very welcome had someone meet us all was good.,1,english,en-en,Elo made us very welcome had someone meet us all was good.
We had a wonderful weekend. Thank you!,1,english,en-en,We had a wonderful weekend. Thank you!
Very very nice.,2,english,en-en,Very very nice.
Erik was a great host. He welcomed my wife and sister very well and our stay was great. Thank you!,1,english,en-en,Erik was a great host. He welcomed my wife and sister very well and our stay was great. Thank you!
very very good!,1,english,en-en,very very good!
Host was very nice and accommodating. 5 minute walk from metro.,1,english,en-en,Host was very nice and accommodating. 5 minute walk from metro.
Jonathan was an excellence host. He is very understanding and helpful.,1,english,en-en,Jonathan was an excellence host. He is very understanding and helpful.
Our host was very welcoming and made us feel at home.,1,english,en-en,Our host was very welcoming and made us feel at home.
We did not get to meet Gaëlle but she was extremely helpful.,1,english,en-en,We did not get to meet Gaëlle but she was extremely helpful.
"Isabelle is a very good host, kind and warm.",1,english,en-en,"Isabelle is a very good host, kind and warm."
"He was very kind. So, I feel comfortable.",1,english,en-en,"He was very kind. So, I feel comfortable."
Great light flat. Wonderful view.,1,english,en-en,Great light flat. Wonderful view.
You would meet very kind host,1,english,en-en,You would meet very kind host
it's very nice!,1,english,en-en,it's very nice!
Thank you for letting us stay in your wonderful home !,1,english,en-en,Thank you for letting us stay in your wonderful home !
Sara was very accommodating and helpful in,1,english,en-en,Sara was very accommodating and helpful in
Wonderful time in Paris! Sl!M's place was very hospitable!!,1,english,en-en,Wonderful time in Paris! Sl!M's place was very hospitable!!
Karine was wonderful and helped us feel right at home!,1,english,en-en,Karine was wonderful and helped us feel right at home!
"I really enjoyed my stay at Laure's apartment. Her family is very friendly and very willing to assist. The apartment was as advertised and very conveniently situated. I would visit again.

Ek het regtig my verblyf by Laure se woonstel geniet. Haar gesin was baie vriendelik en behulpsaam. Die woonstel was soos op die adverstensie en baie gerieflik geleë. Ek sal weer 'n besoek aflê. ",1,english,en-en,"I really enjoyed my stay at Laure's apartment. Her family is very friendly and very willing to assist. The apartment was as advertised and very conveniently situated. I would visit again.

Ek het regtig my verblyf by Laure se woonstel geniet. Haar gesin was baie vriendelik en behulpsaam. Die woonstel was soos op die adverstensie en baie gerieflik geleë. Ek sal weer 'n besoek aflê. "
She is very kindly,1,english,en-en,She is very kindly
Julien was very easy to make arrangements with!,1,english,en-en,Julien was very easy to make arrangements with!
Quite ok.,1,english,en-en,Quite ok.
"Lan was great. made me feel very welcome.
",1,english,en-en,"Lan was great. made me feel very welcome.
"
"Eric is very nice, everything was very good. We had a very good time. ",1,english,en-en,"Eric is very nice, everything was very good. We had a very good time. "
We enjoyed our stay at Clovis' apartment. The neighborhood was wonderful.,1,english,en-en,We enjoyed our stay at Clovis' apartment. The neighborhood was wonderful.
you should be quiet,1,english,en-en,you should be quiet
Host was polite and very helpful.,1,english,en-en,Host was polite and very helpful.
Great spot! Wonderful view!,1,english,en-en,Great spot! Wonderful view!
"Amazing ,  view worth booking. First time in Paris was a memorable one. ",1,english,en-en,"Amazing ,  view worth booking. First time in Paris was a memorable one. "
She was very kind and Nice. We stayed very well.,1,english,en-en,She was very kind and Nice. We stayed very well.
It's a very nice home.,1,english,en-en,It's a very nice home.
Xavier made us feel at home.,1,english,en-en,Xavier made us feel at home.
We really enjoyed this loft. Small but very nice. Benjamin was very helpful throughout our stay,1,english,en-en,We really enjoyed this loft. Small but very nice. Benjamin was very helpful throughout our stay
